stop_id,stop_code,stop_name,stop_desc,stop_lon,stop_lat,zone_id,stop_url,location_type,parent_station,stop_timezone,level_id,wheelchair_boarding,platform_code
IDFM:StopPlaceEntrance:50170752,,pl.du 19 mars 1962,,2.7387380226015807,48.33661238607229,,,2,IDFM:61327,,,0,
IDFM:StopPlaceEntrance:50170662,,pl. du 19 mars 1962,,2.7384815892268635,48.33662081718411,,,2,IDFM:61327,,,0,
IDFM:StopPlaceEntrance:50171274,,r. Raoul Jacobe,,2.7386991030915735,48.3362974021663,,,2,IDFM:61327,,,0,
IDFM:StopPlaceEntrance:50170047,,Accès voie 1,,2.703493479723787,48.230728426431845,,,2,IDFM:61145,,,0,
IDFM:StopPlaceEntrance:50170050,,Accès voie 2,,2.703306408657707,48.230467021139255,,,2,IDFM:61145,,,0,
IDFM:StopPlaceEntrance:50170164,,av. du Foyer,,2.735509597245456,48.18146877806542,,,2,IDFM:61094,,,0,
IDFM:StopPlaceEntrance:50170163,,av. du Foyer,,2.7353620487437116,48.18137846663534,,,2,IDFM:61094,,,0,
IDFM:StopPlaceEntrance:50170843,,r. de la République,,2.735049932372198,48.181908653385086,,,2,IDFM:61094,,,0,
IDFM:StopPlaceEntrance:50170844,,r. de la République,,2.7351178372738123,48.18178283263896,,,2,IDFM:61094,,,0,
IDFM:StopPlaceEntrance:50171291,1,r. Salvator Allende,,2.1452803143191375,48.42760369888654,,,2,IDFM:59531,,,0,
IDFM:StopPlaceEntrance:50170099,,av. de la Gare,,2.9930012141865423,48.80861739787446,,,2,IDFM:67917,,,0,
IDFM:StopPlaceEntrance:50170100,,av. de la Gare,,2.993137392718046,48.808500489035985,,,2,IDFM:67917,,,0,
IDFM:StopPlaceEntrance:50170101,,av. de la Gare,,2.9933688695498617,48.80850050209961,,,2,IDFM:67917,,,0,
IDFM:StopPlaceEntrance:50170478,,Parking Route de Champbenoist,,3.303181054336066,48.55551977268405,,,2,IDFM:62139,,,0,
IDFM:StopPlaceEntrance:50170197,,av. Jean Jaurès,,3.302843695932753,48.55576351286343,,,2,IDFM:62139,,,0,
IDFM:StopPlaceEntrance:50170198,,av. Jean Jaurès,,3.303168596416748,48.55570871170692,,,2,IDFM:62139,,,0,
IDFM:StopPlaceEntrance:50170196,,av. Jean Jaurès,,3.3024503154213,48.55569254911384,,,2,IDFM:62139,,,0,
IDFM:StopPlaceEntrance:50170807,,r. de la Gare,,2.824913299517083,48.64468598406777,,,2,IDFM:62471,,,0,
IDFM:StopPlaceEntrance:50170557,,pl. de la Gare,,2.887933558185868,48.614080026677904,,,2,IDFM:62351,,,0,
IDFM:StopPlaceEntrance:50170558,,pl. de la Gare,,2.888395252336679,48.61386457788059,,,2,IDFM:62351,,,0,
IDFM:StopPlaceEntrance:50170559,,pl. de la Gare,,2.888802775829811,48.613604101178666,,,2,IDFM:62351,,,0,
IDFM:StopPlaceEntrance:50170138,,av. de Poigny,,3.287530034465167,48.54563647368572,,,2,IDFM:62064,,,0,
IDFM:StopPlaceEntrance:50171296,,r. Victor Hugo,,3.2559657940816313,48.5295613279515,,,2,IDFM:61961,,,0,
IDFM:StopPlaceEntrance:50170142,,av. de Valmy,,2.4075262679452503,48.63676619088949,,,2,IDFM:60542,,,0,
IDFM:StopPlaceEntrance:50170140,,av. de Valmy,,2.4069055597624733,48.6364482713103,,,2,IDFM:60542,,,0,
IDFM:StopPlaceEntrance:50170141,,av. de Valmy,,2.4075151406915354,48.63655025135799,,,2,IDFM:60542,,,0,
IDFM:StopPlaceEntrance:50170469,,Parking -av. de la Résistance,,2.407736452806117,48.63618254952685,,,2,IDFM:60542,,,0,
IDFM:StopPlaceEntrance:50170564,,pl. de la Gare,,3.012359513631007,48.561455737744886,,,2,IDFM:62168,,,0,
IDFM:StopPlaceEntrance:50170565,,pl. de la Gare,,3.0125763169817326,48.561329778355976,,,2,IDFM:62168,,,0,
IDFM:StopPlaceEntrance:50170563,,pl. de la Gare,,3.0121020549233757,48.56159069634341,,,2,IDFM:62168,,,0,
